MWT1,POS1,MWT2,POS2,SWT1,SWT2,Rel
actions de conservation,N P N,actions de préservation,N P N,conservation,préservation,QSYN
croissance économique,N A,développement économique,N A,croissance,développement,QSYN
coeur de la forêt,N P N,coeur du bois,N P N,forêt,bois,QSYN
forêts du monde,N P N,forêts de la planète,N P N,monde,planète,QSYN
appel à la communauté,N P N,appel à la population,N P N,communauté,population,QSYN
lien avec la région,N P N,lien avec un pays,N P N,région,pays,QSYN
changement des règles,N P N,modification des règles,N P N,changement,modification,QSYN
eau de la région,N P N,eau dans les pays,N P N,région,pays,QSYN
augmentation de la consommation,N P N,croissance de la consommation,N P N,augmentation,croissance,QSYN
augmentation du nombre,N P N,croissance du nombre,N P N,augmentation,croissance,QSYN
biodiversité de la planète,N P N,biodiversité sur terre,N P N,planète,terre,QSYN
croissance des activités,N P N,activités de développement,N P N,croissance,développement,QSYN
environnement de type,N P N,écosystème de type,N P N,environnement,écosystème,QSYN
croissance rapide,N A,hausse rapide,N A,croissance,hausse,QSYN
soutien de la région,N P N,soutien des pays,N P N,région,pays,QSYN
plantes à croissance,N P N,développement des plantes,N P N,croissance,développement,QSYN
secteur ferroviaire,N A,secteur routier,N A,ferroviaire,routier,QSYN
nature de la région,N P N,nature de la zone,N P N,région,zone,QSYN
recyclage des éléments,N P N,récupération des éléments,N P N,recyclage,récupération,QSYN
augmentation des besoins,N P N,croissance des besoins,N P N,augmentation,croissance,QSYN
augmentation des investissements,N P N,hausse des investissements,N P N,augmentation,hausse,QSYN
sols de la planète,N P N,sols de la terre,N P N,planète,terre,QSYN
forêt au coeur,N P N,bois de coeur,N P N,forêt,bois,QSYN
raison de la croissance,N P N,raison de la hausse,N P N,croissance,hausse,QSYN
augmentation spectaculaire,N A,croissance spectaculaire,N A,augmentation,croissance,QSYN
environnement global,N A,écosystème global,N A,environnement,écosystème,QSYN
intérêt de la protection,N P N,intérêt de la préservation,N P N,protection,préservation,QSYN
signes de dégradation,N P N,signes de la catastrophe,N P N,dégradation,catastrophe,QSYN
échelle du monde,N P N,échelle de la terre,N P N,monde,terre,QSYN
croissance du secteur,N P N,secteur du développement,N P N,croissance,développement,QSYN
augmentation par rapport,N P N,hausse par rapport,N P N,augmentation,hausse,QSYN
environnement par rapport,N P N,rapport avec le milieu,N P N,environnement,milieu,QSYN
développement global,N A,développement mondial,N A,global,mondial,QSYN
actualité écologique,N A,actualité écolo,N N,écologique,écolo,QSYN
environnement mondial,N A,écosystème mondial,N A,environnement,écosystème,QSYN
environnement humain,N A,écosystème humain,N A,environnement,écosystème,QSYN
vie du milieu,N P N,vivant en milieu,N P N,vie,vivant,QSYN
recyclage des déchets,N P N,déchets par réemploi,N P N,recyclage,réemploi,QSYN
service de la croissance,N P N,développement du service,N P N,croissance,développement,QSYN
impact sur la consommation,N P N,incidence sur la consommation,N P N,impact,incidence,QSYN
actions de protection,N P N,actions pour la préservation,N P N,protection,préservation,QSYN
raison de la diminution,N P N,raison de la raréfaction,N P N,diminution,raréfaction,QSYN
mode de gestion,N P N,gestion des transports,N P N,mode,transports,QSYN
impératifs de conservation,N P N,impératifs de protection,N P N,conservation,protection,QSYN
actions de protection,N P N,actions vers la préservation,N P N,protection,préservation,QSYN
défrichement des forêts,N P N,défrichage de forêts,N P N,défrichement,défrichage,QSYN
navette maritime,N A,transport maritime,N A,navette,transport,QSYN
stratégie pour la protection,N P N,stratégie de préservation,N P N,protection,préservation,QSYN
hectares dans la région,N P N,hectares en zone,N P N,région,zone,QSYN
bois de la région,N P N,bois des pays,N P N,région,pays,QSYN
eutrophisation générale,N A,pollution générale,N A,eutrophisation,pollution,QSYN
biomasse chaleur,N N,énergie de la biomasse,N P N,chaleur,énergie,QSYN
influence directe,N A,conséquence directe,N A,influence,conséquence,QSYN
croissance dans la communauté,N P N,communauté de développement,N P N,croissance,développement,QSYN
possibilités de croissance,N P N,accroissement des possibilités,N P N,croissance,accroissement,QSYN
environnement au quotidien,N P N,écologie au quotidien,N P N,environnement,écologie,QSYN
électricité nécessaire,N A,courant nécessaire,N A,électricité,courant,QSYN
dynamique de changement,N P N,modification de la dynamique,N P N,changement,modification,QSYN
environnement chimique,N A,écologie chimique,N A,environnement,écologie,QSYN
vie du monde,N P N,monde du vivant,N P N,vie,vivant,QSYN
départements de la région,N P N,départements de la zone,N P N,région,zone,QSYN
disparition de la diversité,N P N,déclin de la diversité,N P N,disparition,déclin,QSYN
augmentation des activités,N P N,croissance des activités,N P N,augmentation,croissance,QSYN
croissance rapide,N A,accroissement rapide,N A,croissance,accroissement,QSYN
pauvres du monde,N P N,pauvres de la planète,N P N,monde,planète,QSYN
évolution de la planète,N P N,évolution de la terre,N P N,planète,terre,QSYN
services de recyclage,N P N,valorisation des services,N P N,recyclage,valorisation,QSYN
terres dans la région,N P N,terres dans les pays,N P N,région,pays,QSYN
environnement santé,N N,santé en milieu,N P N,environnement,milieu,QSYN
concentration moyenne,N A,teneur moyenne,N A,concentration,teneur,QSYN
recyclage efficace,N A,récupération efficace,N A,recyclage,récupération,QSYN
région ouest,N A,zone ouest,N A,région,zone,QSYN
population en croissance,N P N,hausse de la population,N P N,croissance,hausse,QSYN
sein de la communauté,N P N,sein de la population,N P N,communauté,population,QSYN
sein de la région,N P N,sein de la zone,N P N,région,zone,QSYN
forme de neige,N P N,forme de pluie,N P N,neige,pluie,QSYN
monde à cause,N P N,terre à cause,N P N,monde,terre,QSYN
arbres de la forêt,N P N,bois des arbres,N P N,forêt,bois,QSYN
phénomène de dégradation,N P N,phénomène de désertification,N P N,dégradation,désertification,QSYN
adaptation en zone,N P N,adaptation au milieu,N P N,zone,milieu,QSYN
niveau de la communauté,N P N,population au niveau,N P N,communauté,population,QSYN
seuil de contamination,N P N,seuil de pollution,N P N,contamination,pollution,QSYN
électricité des etats-unis,N P N,énergie aux etats-unis,N P N,électricité,énergie,QSYN
programme local,N A,programme régional,N A,local,régional,QSYN
culture du sol,N P N,élevage hors sol,N P N,culture,élevage,QSYN
face du monde,N P N,face de la terre,N P N,monde,terre,QSYN
diminution de la diversité,N P N,baisse de la diversité,N P N,diminution,baisse,QSYN
monde en termes,N P N,planète en termes,N P N,monde,planète,QSYN
intérêt collectif,N A,intérêt public,N A,collectif,public,QSYN
contamination bactériologique,N A,pollution bactériologique,N A,contamination,pollution,QSYN
environnement montagnard,N A,milieu montagnard,N A,environnement,milieu,QSYN
environnement externe,N A,milieu externe,N A,environnement,milieu,QSYN
réduction de la déforestation,N P N,diminution de la déforestation,N P N,réduction,diminution,QSYN
zones de conservation,N P N,protection des zones,N P N,conservation,protection,QSYN
croissance énergétique,N A,développement énergétique,N A,croissance,développement,QSYN
réutilisation des eaux,N P N,recyclage des eaux,N P N,réutilisation,recyclage,QSYN
ans de conservation,N P N,ans pour la protection,N P N,conservation,protection,QSYN
problèmes de conservation,N P N,problèmes de protection,N P N,conservation,protection,QSYN
augmentation des émissions,N P N,croissance des émissions,N P N,augmentation,croissance,QSYN
croissance des activités,N P N,activités développement,N N,croissance,développement,QSYN
niveau global,N A,niveau mondial,N A,global,mondial,QSYN
conservation des espèces,N P N,protection des espèces,N P N,conservation,protection,QSYN
augmentation considérable,N A,hausse considérable,N A,augmentation,hausse,QSYN
niveau de croissance,N P N,niveau de développement,N P N,croissance,développement,QSYN
écosystèmes dans le monde,N P N,écosystèmes de la terre,N P N,monde,terre,QSYN
carbone mondial,N A,carbone planétaire,N A,mondial,planétaire,QSYN
conservation du domaine,N P N,domaine de la préservation,N P N,conservation,préservation,QSYN
matière de circulation,N P N,matière de déplacement,N P N,circulation,déplacement,QSYN
concentration atmosphérique,N A,teneur atmosphérique,N A,concentration,teneur,QSYN
taux de réduction,N P N,diminution du taux,N P N,réduction,diminution,QSYN
vie sur la planète,N P N,vie de la terre,N P N,planète,terre,QSYN
croissance dans les pays,N P N,développement des pays,N P N,croissance,développement,QSYN
rapport au monde,N P N,terre par rapport,N P N,monde,terre,QSYN
ans dans la région,N P N,ans dans la zone,N P N,région,zone,QSYN
espèces en région,N P N,espèces de la zone,N P N,région,zone,QSYN
mers du globe,N P N,mers de la planète,N P N,globe,planète,QSYN
environnement par rapport,N P N,rapport au milieu,N P N,environnement,milieu,QSYN
croissance sans fin,N P N,fin de développement,N P N,croissance,développement,QSYN
habitat à la faune,N P N,faune en milieu,N P N,habitat,milieu,QSYN
disparition totale,N A,perte totale,N A,disparition,perte,QSYN
place dans le monde,N P N,place sur terre,N P N,monde,terre,QSYN
course à la croissance,N P N,course au développement,N P N,croissance,développement,QSYN
surexploitation des sols,N P N,exploitation des sols,N P N,surexploitation,exploitation,QSYN
coeur du changement,N P N,refroidissement du coeur,N P N,changement,refroidissement,QSYN
forêts de la terre,N P N,forêts du globe,N P N,terre,globe,QSYN
chaleur biomasse,N N,biomasse en énergie,N P N,chaleur,énergie,QSYN
biodiversité par la conservation,N P N,protection de la biodiversité,N P N,conservation,protection,QSYN
stockage de déchets,N P N,charge des déchets,N P N,stockage,charge,QSYN
diminution de la disponibilité,N P N,baisse de disponibilité,N P N,diminution,baisse,QSYN
conservation des sols,N P N,protection des sols,N P N,conservation,protection,QSYN
protection de la flore,N P N,préservation de la flore,N P N,protection,préservation,QSYN
programme environnemental,N A,programme écologique,N A,environnemental,écologique,QSYN
véhicules diesel,N N,véhicules à essence,N P N,diesel,essence,QSYN
réduction du réchauffement,N P N,diminution du réchauffement,N P N,réduction,diminution,QSYN
sein de la région,N P N,pays au sein,N P N,région,pays,QSYN
fins de protection,N P N,fins de préservation,N P N,protection,préservation,QSYN
filières de valorisation,N P N,filières pour la récupération,N P N,valorisation,récupération,QSYN
forêt du lac,N P N,lac des bois,N P N,forêt,bois,QSYN
biomasse en forêt,N P N,biomasse bois,N N,forêt,bois,QSYN
monde politique,N A,politique de la terre,N P N,monde,terre,QSYN
ans dans la protection,N P N,ans à la préservation,N P N,protection,préservation,QSYN
élévation rapide,N A,augmentation rapide,N A,élévation,augmentation,QSYN
origine climatique,N A,origine météorologique,N A,climatique,météorologique,QSYN
rôle de conservation,N P N,rôle dans la protection,N P N,conservation,protection,QSYN
électricité aux zones,N P N,énergie dans les zones,N P N,électricité,énergie,QSYN
côte nord,N A,littoral nord,N A,côte,littoral,QSYN
combustion du charbon,N P N,gaz de combustion,N P N,charbon,gaz,QSYN
partie de la vie,N P N,partie du vivant,N P N,vie,vivant,QSYN
système global,N A,système mondial,N A,global,mondial,QSYN
capture du carbone,N P N,piégeage du carbone,N P N,capture,piégeage,QSYN
plan de conservation,N P N,plan de protection,N P N,conservation,protection,QSYN
long de la côte,N P N,long du littoral,N P N,côte,littoral,QSYN
eau de la planète,N P N,eau de la terre,N P N,planète,terre,QSYN
taux de réduction,N P N,taux de diminution,N P N,réduction,diminution,QSYN
croissance des économies,N P N,développement des économies,N P N,croissance,développement,QSYN
changement du climat,N P N,dérèglement du climat,N P N,changement,dérèglement,QSYN
croissance du taux,N P N,accroissement du taux,N P N,croissance,accroissement,QSYN
processus de disparition,N P N,processus de perte,N P N,disparition,perte,QSYN
réduction de la fréquence,N P N,diminution de la fréquence,N P N,réduction,diminution,QSYN
chemin de croissance,N P N,chemin du développement,N P N,croissance,développement,QSYN
tempêtes de neige,N P N,tempêtes de pluie,N P N,neige,pluie,QSYN
nature sur la conservation,N P N,préservation de la nature,N P N,conservation,préservation,QSYN
biodiversité par la conservation,N P N,préservation de la biodiversité,N P N,conservation,préservation,QSYN
forêt en france,N P N,bois en france,N P N,forêt,bois,QSYN
incidence importante,N A,influence importante,N A,incidence,influence,QSYN
carbone dans le monde,N P N,carbone sur terre,N P N,monde,terre,QSYN
lisière de forêt,N P N,lisière des bois,N P N,forêt,bois,QSYN
réchauffement du globe,N P N,monde contre le réchauffement,N P N,globe,monde,QSYN
changement planétaire,N A,refroidissement planétaire,N A,changement,refroidissement,QSYN
valorisation des déchets,N P N,récupération des déchets,N P N,valorisation,récupération,QSYN
contamination des eaux,N P N,pollution des eaux,N P N,contamination,pollution,QSYN
compte de la conservation,N P N,compte de la préservation,N P N,conservation,préservation,QSYN
convention sur la conservation,N P N,convention pour la protection,N P N,conservation,protection,QSYN
